Report Number,row_id,URL,Congress,Accompanies,Title,Committee,Legislation Number,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment,Issue Date,Section,Volume,Number,Page,Meeting Title,Chamber,Meeting Date,Citation,Committee Print Date,Bill,House Communication Number,CR Date,Abstract,Senate Communication Number
0,row_8809,https://www.congress.gov/amendment/112th-congress/house-amendment/426,112th Congress (2011-2012),0,"Amendment increases funding for the Women, Infants and Children Farmers Market Nutrition Program by $5 million offset by a reduction in the Departmental Administration account by a similar amount.",0,H.Amdt. 426,"Clarke, Hansen [Rep.-D-MI-13]",0,0,On agreeing to the Clarke (MI) amendment (A008) Agreed to by voice vote. ,6/14/2011,0,H.R. 2112,6/14/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8816,https://www.congress.gov/amendment/112th-congress/house-amendment/419,112th Congress (2011-2012),0,"Amendment increases and reduces necessary expenses for the Office of the Secretary of Agriculture by $136,070,000 and is intended to restore full funding for the for the President's request to the Community Futures Trading Commission (CFTC).",0,H.Amdt. 419,"DeLauro, Rosa L. [Rep.-D-CT-3]",0,0,On agreeing to the DeLauro amendment (A001) Agreed to by voice vote. ,6/14/2011,0,H.R. 2112,6/14/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8796,https://www.congress.gov/event/112th-congress/senate-event/LC3112/text,112th,0,0,"Senate Commerce, Science, and Transportation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S.Hrg. 112-248 — NOMINATIONS OF JOHN BRYSON AND TERRY GARCIA TO THE U.S. DEPARTMENT OF COMMERCE,Senate,2011-06-21T04:00:00Z,0,0,0,0,0,0,0
0,row_8835,https://www.congress.gov/amendment/112th-congress/house-amendment/392,112th Congress (2011-2012),0,Amendment prohibits the use of funds for various ACORN and Community Organizations.,0,H.Amdt. 392,"King, Steve [Rep.-R-IA-5]",0,0,"On agreeing to the King (IA) amendment (A044) Agreed to by recorded vote: 251 - 168, 1 Present (Roll no. 397). (consideration: CR H3954-3955)",6/2/2011,0,H.R. 2017,6/1/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8843,https://www.congress.gov/amendment/112th-congress/house-amendment/384,112th Congress (2011-2012),0,Amendment prohibits the use of funds to require an approved Transportation Worker Identification Credential (TWIC) applicant to personally appear at a designated enrollment center for the purpose of TWIC.,0,H.Amdt. 384,"Scalise, Steve [Rep.-R-LA-1]",0,0,On agreeing to the Scalise amendment (A036) Agreed to by voice vote. ,6/1/2011,0,H.R. 2017,6/1/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8842,https://www.congress.gov/amendment/112th-congress/house-amendment/385,112th Congress (2011-2012),0,Amendment sought to prohibit the use of funds made available by this Act may be used in contravention of the War Powers Resolution.,0,H.Amdt. 385,"Sherman, Brad [Rep.-D-CA-27]",0,0,On agreeing to the Sherman amendment (A037) Failed by recorded vote: 208 - 213 (Roll no. 394). (consideration: CR H3935),6/2/2011,0,H.R. 2017,6/1/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8847,https://www.congress.gov/amendment/112th-congress/house-amendment/380,112th Congress (2011-2012),0,Amendment prohibits the use of funds to be used in contravention of current U.S. law regarding the responsibilities of law enforcement authorities to carry out immigration enforcement functions.,0,H.Amdt. 380,"Poe, Ted [Rep.-R-TX-2]",0,0,On agreeing to the Poe (TX) amendment (A032) Agreed to by voice vote. ,6/1/2011,0,H.R. 2017,6/1/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8855,https://www.congress.gov/amendment/112th-congress/house-amendment/372,112th Congress (2011-2012),0,An amendment to provide for designated emergency funds for the State and Local Programs and for the Firefighter Assistance Grants.,0,H.Amdt. 372,"Lowey, Nita M. [Rep.-D-NY-18]",0,0,Mr. Aderholt raised a point of order against the Lowey amendment (A024). Mr. Aderholt stated that the amendment seeks to amend portions of the bill not yet read for consideration. The Chair sustained the point of order. ,6/1/2011,0,H.R. 2017,6/1/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8859,https://www.congress.gov/amendment/112th-congress/house-amendment/344,112th Congress (2011-2012),0,"Amendment sought to require: (1) a plan and timeframe on accelerated transition of military operations to Afghan authorities; (2) a plan and timeframe on negotiations leading to a political solution and reconciliation in Afghanistan; and (3) a new National Intelligence Estimate (NIE) on al-Qaeda. The amendment also sought to clarify that nothing in this section limits the President under existing authority to go after al-Qaeda, share intelligence, or modify military strategy and tactics while redeploying US forces under the plan/timeframe required above.",0,H.Amdt. 344,"McGovern, James P. [Rep.-D-MA-3]",0,0,On agreeing to the McGovern amendment (A044) Failed by recorded vote: 204 - 215 (Roll no. 373). ,5/26/2011,0,H.R. 1540,5/26/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8863,https://www.congress.gov/amendment/112th-congress/house-amendment/340,112th Congress (2011-2012),0,"Amendment requires that the Secretary of Defense establish goals for competition in contracts for the procurement of property or services to be used outside the United States in support of a contingency operation and requires that processes be developed to measure and monitor such competition, including task order categories for services, construction, and supplies.",0,H.Amdt. 340,"Runyan, Jon [Rep.-R-NJ-3]",0,0,On agreeing to the Runyan amendment (A040) Agreed to by voice vote. ,5/26/2011,0,H.R. 1540,5/26/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8871,https://www.congress.gov/amendment/112th-congress/house-amendment/333,112th Congress (2011-2012),0,"Amendment prevents funds authorized in the Act from being used to deploy, establish, or maintain the presence of Members of the Armed Forces or private security contractors on the ground in Libya unless the purpose of the presence is to rescue a Member of the Armed Forces from imminent danger.",0,H.Amdt. 333,"Conyers, John, Jr. [Rep.-D-MI-14]",0,0,On agreeing to the Conyers amendment (A033) Agreed to by recorded vote: 416 - 5 (Roll no. 366). (consideration: CR H3730),5/26/2011,0,H.R. 1540,5/25/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,row_8878,https://www.congress.gov/amendment/112th-congress/house-amendment/326,112th Congress (2011-2012),0,"Amendment sought to coordinate federal information security policy through the creation of a National Office for Cyberspace, updating information security management practices, and establishing measures for the protection of critical infrastructure from cyberattacks.",0,H.Amdt. 326,"Langevin, James R. [Rep.-D-RI-2]",0,0,On agreeing to the Langevin amendment Failed by recorded vote: 172 - 246 (Roll no. 360). (consideration: CR H3726),5/26/2011,0,H.R. 1540,5/25/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
